৫. সাহিত্য অধ্যয়ন,,,
ক্রমিক,বইয়ের নাম,link,                                                   AUDIO
১৪.,"আসহাবে রাসুলের জীবনকথা (২য়, ৩য়, ৪র্থ)- ড. আব্দুল মাবুদ","https://bjilibrary.info/pdf/educated_syllabus/73_ashabe_rasuler_jibon_kotha_2.pdf
https://bjilibrary.info/pdf/higher_study/46_ashabe_rasuler_jibon_kotha_3.pdf
https://bjilibrary.info/pdf/higher_study/46_ashabe_rasuler_jibon_kotha_4.pdf",
১৫.,মানবতার বন্ধু মুহাম্মদ রসূলুল্লাহ (সা)- নঈম সিদ্দিকী,https://shibircloud.com/pdf/manobotar_bondhu_pbhu_v2.pdf,
১৬.,তারীখে ইসলাম- মুফতি আমিনুল ইহসান,https://shibircloud.com/pdf/tarikhe_islam.pdf,
১৭.,মাওলানা মওদূদী একটি জীবন একটি ইতিহাস- আব্বাস আলী খান,https://shibircloud.com/pdf/maolana_moududi.pdf,
১৮.,"জামায়াতে ইসলামীর ইতিহাস (১ম, ২য় ও ৩য় খণ্ড)- আব্বাস আলী খান","https://shibircloud.com/pdf/jamaat_e_islamir_itihas_01.pdf
https://shibircloud.com/pdf/jamaat_e_islamir_itihas_02.pdf
https://shibircloud.com/pdf/jamaat_e_islamir_itihas_03.pdf",
১৯.,দাওয়াতে দ্বীন ও তার কর্মপন্থা- মাওলানা আমীন আহসান ইসলাহী,https://shibircloud.com/pdf/daoyate_din_o_tar_kormopontha.pdf,
২০.,চরিত্র গঠনের মৌলিক উপাদান- নঈম সিদ্দিকী,https://shibircloud.com/pdf/coritro_gothoner_mowlik_upadan_v2.pdf,https://shibircloud.com/audio/hq/choritro_gothoner_moulik_upadan.mp3
২১.,বাইয়াতের হাকিকাত- অধ্যাপক গোলাম আযম,https://shibircloud.com/pdf/baiyater_hakikot_v2.pdf,https://shibircloud.com/audio/lq/baiyater_hakikat.mp3
২২.,একটি আদর্শবাদী দলের পতনের কারণ: তার থেকে বাঁচার উপায়- আব্বাস আলী,https://shibircloud.com/pdf/ekti_adorshobadi_doler_potoner_karon_v2.pdf,https://shibircloud.com/audio/lq/ekti_adorshobadi_doler_potoner_karon.mp3
২৩.,ইসলামী আন্দোলনের নৈতিক ভিত্তি- সাইয়েদ আবুল আলা মওদূদী,https://shibircloud.com/pdf/islami_andoloner_noitik__vitti_v2.pdf,https://shibircloud.com/audio/lq/islami_andoloner_noitik_vitti.mp3
২৪.,ইসলামী নেতৃত্বের গুণাবলী- খুররম মুরাদ,https://shibircloud.com/pdf/islami_netritter_gunaboli.pdf,
২৫.,পর্দা ও ইসলাম-: সাইয়েদ আবুল আলা মওদূদী,https://shibircloud.com/pdf/porda_o_islam_v2.pdf,
২৬.,আল জিহাদ ফিল ইসলাম- সাইয়েদ আবুল আলা মওদূদী,https://shibircloud.com/pdf/al_jihad.pdf,
২৭.,ইসলামী অর্থনীতি- সাইয়েদ আবুল আলা মওদূদী,https://shibircloud.com/pdf/islami_orthoniti.pdf,
২৮.,খেলাফত ও রাজতন্ত্র- সাইয়েদ আবুল আলা মওদূদী,https://shibircloud.com/pdf/khelafot_o_rajtontro_v2.pdf,
২৯.,ইসলামী রাষ্ট্র ও সংবিধান- সাইয়েদ আবুল আলা মওদূদী,https://shibircloud.com/pdf/islami_rastro_o_songbidhan.pdf,
৩০.,শিক্ষা সাহিত্য সংস্কৃতি- মাওলানা মুহাম্মদ আব্দুর রহীম,https://shibircloud.com/pdf/shikkha_sahitto_o_songskriti_v2.pdf,
৩১.,আসান ফিকাহ (১ম ও ২য় খণ্ড)- মাওলানা ইউসুফ ইসলাহী,"https://shibircloud.com/pdf/asan_fekah_01_v2.pdf
https://shibircloud.com/pdf/asan_fekah_02_v2.pdf",
৩২.,সুন্নাত ও বিদয়াত- মাওলানা মুহাম্মদ আব্দুর রহীম,https://shibircloud.com/pdf/sunnat_o_bidyat_v2.pdf,
৩৩.,ইসলামে হালাল ও হারামের বিধান- ড. ইউসুফ আল কারযাভী,https://shibircloud.com/pdf/islame_halal_haramer_bidhan.pdf,
৩৪.,কবীরা গুনাহ- ইমাম আযযাহাবী,https://shibircloud.com/pdf/kobira_gunah_v2.pdf,
৩৫.,ইসলাম ও অন্যান্য মতবাদ- ড. মুহাম্মাদ নুরুল ইসলাম,https://shibircloud.com/pdf/islam_o_onnanno_motobad_v2.pdf,
৩৬.,ভ্রান্তির বেড়াজালে ইসলাম- সাইয়েদ কুতুব,https://shibircloud.com/pdf/vrantir_berajale_islam.pdf,
৩৭.,হেদায়াত- সাইয়েদ আবুল আলা মওদূদী,https://shibircloud.com/pdf/hedayat_v2.pdf,https://shibircloud.com/audio/lq/hedayat.mp3
৩৮.,আমি তাওবা করতে চাই কিন্তু- সালেহ আল মুনাজ্জিদ,https://shibircloud.com/pdf/ami_tawba_korte_cai.pdf,
৩৯.,নামাজ পুনরাবিষ্কার- বিআইআইটি,,
৪০.,মুসলিম যুবসমাজের ক্যারিয়ার গঠন ও দক্ষতা উন্নয়ন- আব্দুদ্দাইয়্যান মুহাম্মদ ইউনুছ,https://shibircloud.com/pdf/muslim_jubosomajer_cariaer_gothon_o_dokkhota_unnoyyon.pdf,
